bus_id,name,country,long_type,capacity,longitude,latitude,type,category,H,marginal_cost
4287,Abwinden-Asten,AT,hydro_ror,168.0,14.381104,48.268569,RR,H,3.0,10
4325,Voest Linz,AT,fossil_brown_lignite,413.0,14.249268,48.334343,LI,C,6.0,24
4287,Wallsee,AT,hydro_ror,210.0,14.589844,48.224673,RR,H,3.0,10
4288,Ybbs-P.,AT,hydro_ror,236.5,14.963379,48.224673,RR,H,3.0,10
4290,Melk,AT,hydro_ror,187.0,15.292969,48.268569,RR,H,3.0,10
4337,Altenwörth,AT,hydro_ror,328.0,15.556641,48.400032,RR,H,3.0,10
4289,Greifenstein,AT,hydro_ror,293.0,16.226807,48.334343,RR,H,3.0,10
4329,Freudenau,AT,hydro_ror,172.0,16.380615,48.210032,RR,H,3.0,10
4336,Dürnrohr,AT,fossil_brown_lignite,757.0,15.567627,48.290503,LI,C,6.0,24
4327,Donaustadt,AT,fossil_coal_gas,487.0,16.33667,48.275882,CG,G,6.0,110
4330,Simmering,AT,fossil_coal_gas,1281.0,16.237793,48.136767,CG,G,6.0,110
4324,Hieflau,AT,hydro_ror,63.299999,14.490967,47.576526,RR,H,3.0,10
4324,Großraming,AT,hydro_ror,72.300003,14.359131,47.850031,RR,H,3.0,10
4310,Rosegg,AT,hydro_ror,80.0,13.908691,46.656977,RR,H,3.0,10
4322,Reißeck,AT,hydro_ror,68.199997,13.436279,46.815099,RR,H,3.0,10
4313,Kaprun -Hauptstufe,AT,hydro_ror,240.0,12.634277,47.249407,RR,H,3.0,10
4315,Kaprun -Oberstufe,AT,hydro_pure_ps,112.800003,12.678223,47.174778,PS,H,3.0,100
4316,Amlach,AT,hydro_ror,60.0,12.524414,46.800059,RR,H,3.0,10
4308,Achensee,AT,hydro_ror,79.0,11.568604,47.480088,RR,H,3.0,10
4304,Gerlos,AT,hydro_ror,200.100006,11.854248,47.256864,RR,H,3.0,10
4306,Mayrhofen,AT,hydro_ror,345.0,11.623535,47.227029,RR,H,3.0,10
4296,Roßhag,AT,hydro_pure_ps,231.0,11.557617,47.032695,PS,H,3.0,100
4307,Häusling,AT,hydro_pure_ps,360.0,11.876221,47.077604,PS,H,3.0,100
4298,Kühtai,AT,hydro_pure_ps,289.0,11.052246,47.092566,PS,H,3.0,100
4299,Silz,AT,hydro_ror,500.0,11.008301,47.227029,RR,H,3.0,10
4301,Imst,AT,hydro_ror,89.0,10.601807,47.279229,RR,H,3.0,10
4297,Kaunertal,AT,hydro_ror,392.0,10.513916,47.047669,RR,H,3.0,10
4285,Vermunt,AT,hydro_pure_storage,156.0,9.96460000000001,46.935261,DA,H,4.0,80
4285,Rodund I + II,AT,hydro_mixed,493.0,9.898682,46.995241,HY,H,3.0,60
4291,Lünersee,AT,hydro_mixed,232.0,9.74487300000001,47.047669,HY,H,3.0,60
4294,Langenegg,AT,hydro_pure_storage,74.0,9.97558599999999,47.44295,DA,H,4.0,80
4323,Sölk,AT,hydro_ror,61.0,13.787842,47.361153,RR,H,3.0,10
4309,Oberaudorf,DE,hydro_ror,59.0,12.128906,47.643186,RR,H,3.0,10
4339,Timelkam,AT,fossil_coal_gas,589.0,13.634033,47.945786,CG,G,6.0,110
4333,Mellach,AT,fossil_brown_lignite,246.0,15.490723,46.987747,LI,C,6.0,24
5846,Riedersbach,AT,fossil_brown_lignite,223.0,13.139648,48.063397,LI,C,6.0,24
4315,Schwarzach,AT,hydro_ror,120.0,13.062744,47.398349,RR,H,3.0,10
4311,Koralpe,AT,hydro_pure_ps,50.0,14.831543,46.679594,PS,H,3.0,100
4353,Rodenhuize,BE,biomass,170.0,3.86718799999999,51.07592,BM,O,0.0,10
4351,Total,BE,fossil_coal_gas,261.0,4.559326,51.296276,CG,G,6.0,110
4358,Doel,BE,nuclear,2920.0,4.152832,51.296276,NU,N,6.0,16
4356,Drogenbos,BE,fossil_coal_gas,460.0,4.47143600000001,50.75731,CG,G,6.0,110
4347,Amercoeur,BE,fossil_coal_gas,420.0,4.372559,50.429518,CG,G,6.0,110
4366,Plate Taille,BE,hydro_mixed,144.0,4.559326,50.113533,HY,H,3.0,60
4377,Tihange,BE,nuclear,3024.0,4.998779,50.604159,NU,N,6.0,16
4373,Angleur,BE,fossil_coal_gas,110.0,5.53710900000001,50.694718,CG,G,6.0,110
4372,Coo,BE,hydro_pure_ps,1164.0,6.13037099999999,50.310392,PS,H,3.0,100
4386,Langerlo,BE,fossil_coal_hard,556.0,5.42724599999999,50.972265,HC,C,6.0,35
5977,Ringvaart,BE,fossil_coal_gas,357.0,3.64746099999999,50.951506,CG,G,6.0,110
5050,St-Ghislain,BE,fossil_coal_gas,460.0,3.96606399999999,50.373496,CG,G,6.0,110
4408,Kakanj,BA,fossil_brown_lignite,385.0,18.182373,44.127028,LI,C,6.0,24
4411,Ugljevik,BA,fossil_brown_lignite,235.0,18.841553,44.699898,LI,C,6.0,24
4394,Gacko,BA,fossil_brown_lignite,255.0,18.259277,43.076913,LI,C,6.0,24
4413,Visegrad,BA,hydro_ror,315.0,19.27002,43.707594,RR,H,3.0,10
4398,Capljina,BA,hydro_ror,440.0,18.017578,42.811522,RR,H,3.0,10
4402,Rama,BA,hydro_ror,160.0,17.655029,43.850374,RR,H,3.0,10
4397,Grabovica,BA,hydro_ror,114.0,17.644043,43.699651,RR,H,3.0,10
4436,Gojak,HR,hydro_ror,50.0,15.172119,45.267155,RR,H,3.0,10
4435,Plomin,HR,fossil_coal_hard,290.0,14.084473,45.081279,HC,C,6.0,35
4438,Rijeka,HR,other_nrenew,300.0,14.611816,45.213004,OT,O,3.0,10
4441,Senj,HR,hydro_pure_storage,215.0,14.919434,44.801327,DA,H,4.0,80
4430,Velebit,HR,hydro_mixed,275.0,15.567627,44.253069,HY,H,3.0,60
4443,Sisak,HR,fossil_coal_gas,395.0,16.45752,45.521744,CG,G,6.0,110
4444,Zagreb,HR,fossil_coal_gas,430.0,15.897217,45.867063,CG,G,6.0,110
2345,Dubrovnik,HR,hydro_ror,110.0,18.391113,42.463993,RR,H,3.0,10
4432,Zakučac,HR,hydro_pure_storage,485.0,16.75415,43.428988,DA,H,4.0,80
4429,Orlovac,HR,hydro_pure_storage,235.0,16.743164,43.667872,DA,H,4.0,80
4438,Vinodol,HR,hydro_pure_storage,84.0,14.765625,45.104546,DA,H,4.0,80
5039,Chinon,FR,nuclear,3620.0,0.406494000000004,47.338823,NU,N,6.0,16
5911,Martigues-Ponteau,FR,fossil_coal_gas,490.0,5.16357399999999,43.325178,CG,G,6.0,110
4467,Le Pouget,FR,hydro_ror,447.0,2.746582,44.0718,RR,H,3.0,10
4468,St. Laurent,FR,nuclear,1830.0,1.680908,47.576526,NU,N,6.0,16
4469,Braek,FR,fossil_coal_gas,818.0,2.471924,51.020666,CG,G,6.0,110
4936,Gravelines,FR,nuclear,5460.0,2.02148399999999,50.993014,NU,N,6.0,16
4954,Quartes,FR,fossil_coal_gas,405.0,4.031982,50.240179,CG,G,6.0,110
4560,Le Havre,FR,fossil_oil,1415.0,0.153808999999988,49.510944,FO,F,6.0,100
4918,Paluel,FR,nuclear,5320.0,0.681152000000009,49.830896,NU,N,6.0,16
4917,Penly Poste,FR,nuclear,2660.0,1.48315400000001,49.958288,NU,N,6.0,16
4847,Porcheville,FR,fossil_oil,2340.0,1.66992199999999,48.944151,FO,F,6.0,100
4896,Vaires,FR,other_nl,561.0,2.66967800000001,48.821333,OT,O,3.0,10
4958,Revin,FR,hydro_pure_ps,808.0,4.43847700000001,49.94415,PS,H,3.0,100
4367,Chooz B,FR,nuclear,3000.0,4.70214800000001,50.064192,NU,N,6.0,16
4987,Emile- Huchet,FR,fossil_coal_gas,1919.0,6.60278300000001,49.181703,CG,G,6.0,110
2641,Hütte,DE,fossil_brown_lignite,290.0,6.74560499999999,49.382373,LI,C,6.0,24
5015,Strasbourg,FR,hydro_ror,147.0,7.75634799999999,48.494768,RR,H,3.0,10
4996,Rhinau,FR,hydro_ror,167.0,7.58056600000001,48.20271,RR,H,3.0,10
5008,Vogelgrun,FR,hydro_ror,141.0,7.49267599999999,48.078079,RR,H,3.0,10
4784,Vouglans,FR,hydro_ror,285.0,5.72387699999999,46.445427,RR,H,3.0,10
5054,Belleville,FR,nuclear,2620.0,3.098145,47.606163,NU,N,6.0,16
4821,Dampierre,FR,nuclear,3560.0,2.59277299999999,47.717154,NU,N,6.0,16
4557,Civaux,FR,nuclear,2990.0,0.736083999999991,46.505954,NU,N,6.0,16
