bus_id,name,country,long_type,capacity,longitude,latitude,type,category
6147,Wind FR 130,FR,wind,10.0,-2.28515599999999,47.309034,WD,R
5026,Wind FR 131,FR,wind,131.70000000000002,0.823974999999992,46.362093,WD,R
5045,Wind FR 132,FR,wind,46.42,1.274414,50.000678,WD,R
7399,Wind FR 133,FR,wind,41.550000000000004,-3.77929700000001,47.916342,WD,R
4933,Wind FR 134,FR,wind,78.1,2.219238,50.687758,WD,R
4868,Wind FR 135,FR,wind,12.0,3.72436500000001,47.879513,WD,R
6150,Wind FR 136,FR,wind,147.6,-2.80151400000001,48.429201,WD,R
4519,Wind FR 137,FR,wind,42.0,0.988770000000011,45.912944,WD,R
4831,Wind FR 138,FR,wind,31.1,0.681152000000009,48.734455,WD,R
4520,Wind FR 139,FR,wind,11.75,-1.29638700000001,46.777493,WD,R
4889,Wind FR 140,FR,wind,15.0,4.93286099999999,48.661943,WD,R
6152,Wind FR 141,FR,wind,73.6,-2.351074,48.531157,WD,R
7449,Wind FR 142,FR,wind,6.8,6.448975,48.268569,WD,R
4663,Wind FR 143,FR,wind,6.9,4.822998,44.315988,WD,R
4857,Wind FR 144,FR,wind,77.634,2.14233400000001,49.382373,WD,R
7350,Wind FR 145,FR,wind,12.0,3.625488,49.360912,WD,R
4595,Wind FR 146,FR,wind,14.0,2.208252,44.964798,WD,R
4787,Wind FR 147,FR,wind,18.0,5.54809599999999,46.118942,WD,R
5095,Wind FR 148,FR,wind,54.2,6.48193399999999,48.806863,WD,R
4525,Wind FR 149,FR,wind,50.52,-1.065674,46.149394,WD,R
4566,Wind FR 150,FR,wind,30.97,1.955566,43.34915,WD,R
5107,Wind FR 151,FR,wind,176.378,1.96655299999999,50.310392,WD,R
4872,Wind FR 152,FR,wind,61.75,3.52661099999999,47.783635,WD,R
4633,Wind FR 153,FR,wind,1.2,3.28491200000001,46.24825,WD,R
4799,Wind FR 154,FR,wind,38.92,6.04247999999999,47.279229,WD,R
5865,Wind FR 155,FR,wind,89.95,5.31738300000001,48.312428,WD,R
4922,Wind FR 156,FR,wind,12.8,2.37304699999999,49.873398,WD,R
4949,Wind FR 157,FR,wind,25.8,3.14209,50.380502,WD,R
6165,Wind FR 158,FR,wind,6.0,-1.73584000000001,48.034019,WD,R
4813,Wind FR 159,FR,wind,24.48,1.58203099999999,48.385442,WD,R
4474,Wind FR 160,FR,wind,17.0,-0.812988000000009,45.943511,WD,R
6007,Wind FR 161,FR,wind,124.61999999999999,1.77978500000001,48.334343,WD,R
6157,Wind FR 162,FR,wind,10.280299999999999,-1.768799,48.114767,WD,R
5066,Wind FR 163,FR,wind,12.0,3.92211899999999,45.104546,WD,R
4684,Wind FR 164,FR,wind,60.0,4.866943,45.298075,WD,R
4645,Wind FR 165,FR,wind,138.0,4.020996,44.504341,WD,R
4898,Wind FR 166,FR,wind,115.96000000000001,3.449707,49.016257,WD,R
5025,Wind FR 167,FR,wind,9.0,1.94458,45.752193,WD,R
4607,Wind FR 168,FR,wind,32.37,3.29589800000001,44.824708,WD,R
4385,Wind FR 169,FR,wind,26.759999999999998,5.614014,49.560852,WD,R
7336,Wind FR 170,FR,wind,54.105000000000004,4.5883531458663,46.8746250482989,WD,R
6153,Wind FR 171,FR,wind,0.1182,-1.636963,47.271775,WD,R
5068,Wind FR 172,FR,wind,16.2,4.96582000000001,44.699898,WD,R
6932,Wind FR 173,FR,wind,23.85,-1.40715709378505,46.5986966080777,WD,R
4879,Wind FR 174,FR,wind,41.3,3.55957000000001,48.502048,WD,R
7484,Wind FR 175,FR,wind,9.9,4.36157199999999,49.001844,WD,R
4971,Wind FR 176,FR,wind,149.0,5.36132800000001,47.938427,WD,R
6936,Wind FR 177,FR,wind,14.35,1.58203099999999,43.413029,WD,R
4551,Wind FR 178,FR,wind,40.456,-0.285644999999988,49.109838,WD,R
7459,Wind FR 179,FR,wind,91.1,6.547852,49.102645,WD,R
5085,Wind FR 180,FR,wind,27.6,4.47143600000001,49.138597,WD,R
4552,Wind FR 181,FR,wind,55.0,0.164794999999993,48.334343,WD,R
7713,Wind FR 182,FR,wind,132.05,-0.296630999999993,46.339343,WD,R
7741,Wind FR 183,FR,wind,162.4,-0.626221000000005,45.95115,WD,R
5086,Wind FR 184,FR,wind,21.6,3.92211899999999,43.644026,WD,R
4890,Wind FR 185,FR,wind,301.4299999999999,3.405762,49.674738,WD,R
4913,Wind FR 186,FR,wind,107.51,3.94409200000001,49.353756,WD,R
4941,Wind FR 187,FR,wind,255.89299999999997,2.68066399999999,50.162824,WD,R
7332,Wind FR 188,FR,wind,13.2,6.41440348793292,48.7476341571702,WD,R
6136,Wind FR 189,FR,wind,62.15,-4.44946299999999,48.443778,WD,R
4671,Wind FR 190,FR,wind,30.266,3.98803700000001,46.004593,WD,R
4648,Wind FR 191,FR,wind,2.7,4.79003900000001,44.182204,WD,R
7340,Wind FR 192,FR,wind,41.2,4.064941,48.195387,WD,R
7567,Wind FR 193,FR,wind,64.5,-0.538330000000004,46.255847,WD,R
4556,Wind FR 194,FR,wind,72.9,0.703124999999998,46.830134,WD,R
6144,Wind FR 195,FR,wind,6.0,-1.84570299999999,47.301585,WD,R
4557,Wind FR 196,FR,wind,20.0,0.747069999999996,46.445427,WD,R
4989,Wind FR 197,FR,wind,10.0,5.789795,49.28214,WD,R
7876,Wind FR 198,FR,wind,14.0,-0.911864999999989,47.390912,WD,R
6938,Wind FR 199,FR,wind,106.38700000000001,-1.4063738043641,47.4365741379546,WD,R
4608,Wind FR 200,FR,wind,134.5,3.03222699999999,45.151053,WD,R
6169,Wind FR 201,FR,wind,59.8,-2.02148399999999,46.845164,WD,R
7574,Wind FR 202,FR,wind,64.3,1.856689,48.231991,WD,R
4867,Wind FR 203,FR,wind,265.1,4.515381,48.705463,WD,R
6130,Wind FR 204,FR,wind,7.5,-1.724854,49.518076,WD,R
5029,Wind FR 205,FR,wind,22.0,5.921631,48.173412,WD,R
4575,Wind FR 206,FR,wind,26.0,3.69140600000001,43.460894,WD,R
7357,Wind FR 207,FR,wind,24.35,-1.40218305725865,46.929084559811,WD,R
4590,Wind FR 208,FR,wind,200.29000000000002,2.31811500000001,43.524655,WD,R
4665,Wind FR 209,FR,wind,4.6,4.84497099999999,44.809122,WD,R
4955,Wind FR 210,FR,wind,141.79999999999998,4.020996,49.958288,WD,R
4943,Wind FR 211,FR,wind,415.6680000000001,3.39477499999999,49.880478,WD,R
4815,Wind FR 212,FR,wind,20.0,1.47216800000001,48.647428,WD,R
4530,Wind FR 213,FR,wind,128.0,-0.109863000000011,46.845164,WD,R
6939,Wind FR 214,FR,wind,15.4,4.32038022475984,47.8287695378832,WD,R
4827,Wind FR 215,FR,wind,0.132,2.526855,48.545705,WD,R
5030,Wind FR 216,FR,wind,185.45000000000002,2.76855499999999,49.767074,WD,R
6578,Wind FR 217,FR,wind,35.6,-1.71386699999999,47.916342,WD,R
4942,Wind FR 218,FR,wind,259.03999999999996,2.823486,49.809632,WD,R
4706,Wind FR 219,FR,wind,130.79999999999998,4.66918899999999,47.323931,WD,R
4610,Wind FR 220,FR,wind,106.0,2.44995100000001,47.040182,WD,R
5960,Wind FR 221,FR,wind,30.15,-0.977783000000002,47.967859,WD,R
7793,Wind FR 222,FR,wind,27.0,6.83349599999999,48.951366,WD,R
4830,Wind FR 223,FR,wind,32.58,0.911864999999989,49.009051,WD,R
