bus_id1,bus_id2,voltage1,voltage2,is_transformer,r,x,fmax
2773,2774,220.0,380.0,true,2.0,55.0,1000.0
4478,4479,220.0,380.0,true,2.0,55.0,1000.0
4699,4700,220.0,380.0,true,2.0,55.0,1000.0
5547,5548,220.0,380.0,true,2.0,55.0,1000.0
1675,1676,132.0,380.0,true,2.0,55.0,1000.0
2734,2735,220.0,380.0,true,2.0,55.0,1000.0
256,257,220.0,380.0,true,2.0,55.0,1000.0
2958,2959,220.0,380.0,true,2.0,55.0,1000.0
2954,2955,220.0,380.0,true,2.0,55.0,1000.0
4025,4026,220.0,380.0,true,2.0,55.0,1000.0
2950,2951,220.0,380.0,true,2.0,55.0,1000.0
2809,2810,220.0,380.0,true,2.0,55.0,1000.0
4599,4600,220.0,380.0,true,2.0,55.0,1000.0
4937,4938,220.0,380.0,true,2.0,55.0,1000.0
5575,5576,220.0,380.0,true,2.0,55.0,1000.0
4864,4865,220.0,380.0,true,2.0,55.0,1000.0
6299,6300,220.0,380.0,true,2.0,55.0,1000.0
1620,1621,220.0,380.0,true,2.0,55.0,1000.0
4319,4320,220.0,380.0,true,2.0,55.0,1000.0
5566,5567,220.0,380.0,true,2.0,55.0,1000.0
3982,3983,220.0,380.0,true,2.0,55.0,1000.0
3988,3989,220.0,380.0,true,2.0,55.0,1000.0
6583,6584,220.0,380.0,true,2.0,55.0,1000.0
4079,4080,220.0,380.0,true,2.0,55.0,1000.0
298,299,220.0,380.0,true,2.0,55.0,1000.0
5217,5218,220.0,380.0,true,2.0,55.0,1000.0
154,155,220.0,380.0,true,2.0,55.0,1000.0
2421,2422,132.0,380.0,true,2.0,55.0,1000.0
1685,1686,220.0,380.0,true,2.0,55.0,1000.0
5283,5284,220.0,380.0,true,2.0,55.0,1000.0
3344,3345,220.0,380.0,true,2.0,55.0,1000.0
2646,2647,220.0,380.0,true,2.0,55.0,1000.0
5596,5597,220.0,380.0,true,2.0,55.0,1000.0
2979,2980,220.0,380.0,true,2.0,55.0,1000.0
282,283,220.0,380.0,true,2.0,55.0,1000.0
4522,4523,220.0,380.0,true,2.0,55.0,1000.0
4800,4801,220.0,380.0,true,2.0,55.0,1000.0
5580,5581,220.0,380.0,true,2.0,55.0,1000.0
5309,5310,220.0,380.0,true,2.0,55.0,1000.0
292,293,220.0,380.0,true,2.0,55.0,1000.0
2726,2727,220.0,380.0,true,2.0,55.0,1000.0
4956,4957,220.0,380.0,true,2.0,55.0,1000.0
5463,5464,220.0,380.0,true,2.0,55.0,1000.0
3932,3933,220.0,380.0,true,2.0,55.0,1000.0
2747,2748,220.0,380.0,true,2.0,55.0,1000.0
2490,2491,132.0,220.0,true,2.0,55.0,1000.0
2706,2707,220.0,380.0,true,2.0,55.0,1000.0
4392,4393,220.0,380.0,true,2.0,55.0,1000.0
5956,5957,220.0,380.0,true,2.0,55.0,1000.0
4687,4688,220.0,380.0,true,2.0,55.0,1000.0
5513,5514,220.0,380.0,true,2.0,55.0,1000.0
2694,2695,220.0,380.0,true,2.0,55.0,1000.0
6253,6254,220.0,380.0,true,2.0,55.0,1000.0
4725,4726,220.0,380.0,true,2.0,55.0,1000.0
4893,4894,220.0,380.0,true,2.0,55.0,1000.0
4545,4546,220.0,380.0,true,2.0,55.0,1000.0
1533,1534,220.0,380.0,true,2.0,55.0,1000.0
5165,5166,220.0,380.0,true,2.0,55.0,1000.0
917,918,220.0,380.0,true,2.0,55.0,1000.0
259,260,220.0,380.0,true,2.0,55.0,1000.0
3247,3248,220.0,380.0,true,2.0,55.0,1000.0
3229,3230,220.0,380.0,true,2.0,55.0,1000.0
3010,3011,220.0,380.0,true,2.0,55.0,1000.0
2371,2372,220.0,380.0,true,2.0,55.0,1000.0
2708,2709,220.0,380.0,true,2.0,55.0,1000.0
6280,6281,220.0,380.0,true,2.0,55.0,1000.0
173,174,220.0,380.0,true,2.0,55.0,1000.0
1645,1646,220.0,380.0,true,2.0,55.0,1000.0
5237,5238,220.0,380.0,true,2.0,55.0,1000.0
